Zeit;1051;1052;1053;1054;1055;1056;1057;1061;1062;1063;1064;1065;1066;1067;1071;1072;1073;1074;1075;1076;1077;1041;1042;1043;1044;1045;1046;1047;1031;1032;1033;1034;1035;1036;1037;1021;1022;1023;1024;1025;1026;1027;1011;1012;1013;1014;1015;1016;1017;1001;1002;1003;1004;1005;1006;1007;nk1;nk2;nk3;nk4;nk5;nk6;nk7;nk8
12,5;544,096;574,92728;553,96812;559,47718;;;;630,21038;644,85758;615,11258;609,9355;;;;633,53602;593,24778;651,44982;659,92002;;;;765,35332;693,00068;727,69408;;;;;512,02644;484,94414;495,9878;;;;;284,41286;407,0909;321,61526;;;;;22,94738;39,1419;99,16936;;;;;22,69382;18,21998;67,3622;;;;;14,93032;14,2891;12,95648;14,4415;15,3396;9,74194;11,96816;20,59398
13;557,492;588,26628;567,07112;572,13618;;;;639,15038;653,60158;623,84958;619,5895;;;;643,02502;602,15578;659,56882;669,32902;;;;782,80132;708,57668;743,40108;;;;;532,45144;504,73314;515,3008;;;;;309,95086;437,7059;348,22926;;;;;24,35698;43,5199;114,09136;;;;;23,41102;19,17198;77,5212;;;;;15,94862;15,4334;14,16648;15,9623;15,5442;10,24264;13,09196;21,15468
13,5;569,847;600,08228;577,77712;583,73418;;;;646,10638;661,68258;632,28258;628,7345;;;;651,82302;609,70678;668,71182;678,98602;;;;796,91732;720,57668;757,37308;;;;;551,04644;523,09614;533,2438;;;;;334,43186;467,1449;372,43826;;;;;25,66798;48,1652;130,01336;;;;;24,16042;19,86438;88,6482;;;;;16,16442;15,5661;14,67928;16,7928;16,1324;10,42504;12,65216;21,51548
14;580,672;611,09228;588,42712;594,08918;;;;653,85838;668,80258;642,04358;638,9085;;;;660,65902;619,15178;677,66982;688,94202;;;;809,49632;732,35968;768,47908;;;;;568,43544;539,63414;549,5308;;;;;357,72086;494,1309;396,59526;;;;;26,81658;52,4473;145,45936;;;;;24,26922;20,29428;100,4782;;;;;15,72042;16,0523;14,47848;16,3918;16,5399;10,78404;12,74406;21,93928
14,5;593,29;623,19728;598,98612;606,58818;;;;664,60138;679,57658;653,82258;653,5745;;;;673,06102;629,51278;690,66582;701,23702;;;;819,61432;740,84168;777,58408;;;;;584,40144;555,38014;564,8098;;;;;379,89786;520,2069;417,73126;;;;;28,21708;57,3078;161,43636;;;;;24,93452;20,61858;112,4742;;;;;16,72842;16,6374;15,90648;17,6489;17,5616;11,60664;13,01026;22,53138
15;605,096;634,59428;609,60712;617,76518;;;;675,40138;691,19358;667,40458;669,4235;;;;685,81302;642,04378;703,24082;715,48102;;;;828,20632;749,38868;785,65808;;;;;598,95944;569,03114;577,2228;;;;;400,37286;543,5889;436,43326;;;;;29,69778;62,3338;176,47936;;;;;25,11242;21,13348;125,1062;;;;;17,11402;16,9778;15,53568;17,6935;17,9492;11,22264;13,19476;22,62818
15,5;619,786;649,77328;621,83312;630,88118;;;;688,05338;705,32658;683,55058;687,2235;;;;700,64302;656,20078;719,18982;731,39202;;;;835,69632;756,60068;792,58908;;;;;611,77744;581,55314;590,4058;;;;;418,93386;565,3879;455,02026;;;;;30,77488;66,0568;190,43636;;;;;25,34422;21,45328;137,4732;;;;;18,31682;18,3976;16,81378;18,694;18,314;11,85474;13,32496;23,07278
16;635,582;664,40228;635,14812;646,19318;;;;702,61738;720,49258;700,96358;706,5335;;;;715,13302;670,56478;734,39182;747,12702;;;;842,61832;761,64168;799,48708;;;;;623,32144;592,68714;600,8218;;;;;437,05586;585,8059;471,20326;;;;;32,24448;70,6088;204,78036;;;;;26,00132;21,86178;151,0732;;;;;18,77712;18,9203;16,89728;18,5183;18,5823;11,92504;13,92606;23,58918
16,5;653,664;682,21228;650,03412;663,11918;;;;718,12338;737,06958;717,80658;726,0185;;;;729,40102;684,69878;749,16282;762,95502;;;;848,26232;767,27968;806,40908;;;;;634,99344;603,72014;611,8078;;;;;454,63286;605,4909;487,41726;;;;;33,47978;74,1968;216,73836;;;;;26,16712;22,00348;163,6392;;;;;18,95922;18,9707;18,26738;19,038;19,7305;12,72234;14,01506;23,84208
17;673,882;701,30328;665,87112;681,35118;;;;735,56838;754,66258;736,48758;746,7395;;;;744,79702;698,72678;764,92882;779,57202;;;;852,64832;770,64068;809,87008;;;;;644,46544;613,08814;619,7488;;;;;469,62486;623,2179;501,00126;;;;;34,65878;78,4838;228,71536;;;;;26,79722;22,78208;176,1712;;;;;20,45222;19,5847;17,87248;19,5565;20,0971;13,08744;14,25916;24,59928
17,5;697,029;723,05228;683,63012;701,28218;;;;751,24438;771,85858;753,16358;764,8405;;;;758,08602;712,05978;778,99482;793,38802;;;;857,95232;775,40268;814,63008;;;;;652,68044;621,32114;628,0658;;;;;483,60286;639,1569;513,12526;;;;;35,66528;81,5888;239,09336;;;;;26,73302;22,69588;187,5282;;;;;20,12162;19,7179;19,42108;20,3728;20,0235;13,05034;14,25286;24,70998
18;718,72;742,45528;700,79612;719,89918;;;;766,16338;787,74058;769,85458;782,3995;;;;770,61402;724,61878;791,49582;807,94702;;;;861,50032;778,68768;818,47508;;;;;660,72444;628,79114;634,8328;;;;;497,20186;653,7209;524,02426;;;;;36,55978;84,9598;249,69736;;;;;27,18332;22,97538;199,0332;;;;;20,52522;20,3254;19,02498;19,6825;20,3572;13,41784;14,51426;24,87908
18,5;740,975;763,16628;718,42212;738,67118;;;;781,16138;802,90958;785,79658;798,0095;;;;782,52302;735,80278;803,66682;820,06402;;;;865,05332;782,80068;822,02308;;;;;667,29244;635,71614;641,3918;;;;;508,89186;666,4319;533,70726;;;;;37,65638;88,5018;258,16736;;;;;28,02262;23,27168;208,8252;;;;;21,28972;20,6953;19,48408;20,6269;20,6565;13,56344;14,72616;25,36468
19;761,68;781,99628;735,00612;756,16318;;;;793,87138;815,44858;799,08158;812,0755;;;;792,18402;745,42178;814,21682;830,82002;;;;869,49432;785,76368;819,88208;;;;;673,59044;641,66814;646,3878;;;;;520,30486;678,7939;542,56426;;;;;38,79438;92,0298;265,81036;;;;;28,38252;22,43488;218,3712;;;;;21,19112;20,7384;19,80988;20,4768;21,0264;13,53474;15,15996;25,69088
19,5;781,394;799,51128;750,31712;772,99318;;;;806,26538;828,09558;811,86558;825,5425;;;;801,42502;755,23978;824,37882;841,25502;;;;873,62832;788,46168;809,00708;;;;;678,80044;646,57714;652,1528;;;;;529,97686;688,7609;549,75526;;;;;39,36898;94,1028;272,62536;;;;;28,26522;22,63318;226,6052;;;;;21,61192;21,1869;20,10718;21,1466;21,0882;13,87934;14,61066;25,55548
20;799,423;815,03228;763,93112;786,80018;;;;817,26338;839,27258;822,64458;837,1535;;;;809,64902;763,13278;831,86882;849,94602;;;;875,89032;787,05268;790,78608;;;;;684,24544;652,19814;656,0448;;;;;538,91186;699,2059;556,51326;;;;;40,27178;97,0008;279,81436;;;;;28,48382;22,62868;234,8232;;;;;22,05322;21,6608;20,88248;21,7552;21,5904;13,91284;14,92326;25,84188
